trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 0.9780309147241483}",20,0,-88.54327020630953,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
43,False,"{'a': 0.005, 'e': 0.9769763942068623}",20,0,-139.81093178656994,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
44,False,"{'a': 0.005, 'e': 0.9758974493306055}",25,0,-133.64424634337965,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
45,False,"{'a': 0.005, 'e': 0.9747941070689433}",25,0,-134.47360428388703,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
46,False,"{'a': 0.005, 'e': 0.9736663950053749}",30,0,-121.009907993132,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
47,False,"{'a': 0.005, 'e': 0.972514341332643}",20,1,-21.547894371503666,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.005, 'e': 0.9713379748520296}",30,0,-236.94707623851784,"{0: 15, 1: 2, 2: 6, 3: 5, 4: 2}",1
49,False,"{'a': 0.005, 'e': 0.9701373249726354}",25,0,-171.34741349965606,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
50,False,"{'a': 0.005, 'e': 0.9689124217106447}",20,0,-165.3366455595956,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
51,False,"{'a': 0.005, 'e': 0.9676632956885756}",20,0,-66.04798126067246,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.005, 'e': 0.9663899781345132}",20,0,-144.25395292774502,"{0: 11, 1: 1, 2: 3, 3: 4, 4: 1}",0
53,False,"{'a': 0.005, 'e': 0.9650925008813303}",25,0,-127.20756024958408,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.005, 'e': 0.9637708963658905}",30,0,-162.35162884430204,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
55,False,"{'a': 0.005, 'e': 0.962425197628238}",20,0,-112.65822341738688,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
56,False,"{'a': 0.005, 'e': 0.9610554383107709}",30,0,-134.5191995852605,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
57,False,"{'a': 0.005, 'e': 0.9596616526574011}",20,7,-9.411339716972492,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.005, 'e': 0.9582438755126972}",30,0,-197.24641486959896,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
59,False,"{'a': 0.005, 'e': 0.9568021423210139}",20,11,-80.00459964263854,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
60,False,"{'a': 0.005, 'e': 0.955336489125606}",25,0,-147.24711544597463,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
61,False,"{'a': 0.005, 'e': 0.9538469525677271}",20,0,-60.88940919228931,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
62,False,"{'a': 0.005, 'e': 0.9523335698857134}",20,0,-133.54583085102894,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.005, 'e': 0.9507963789140532}",20,0,-0.4340118876278555,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.005, 'e': 0.9492354180824408}",25,0,-139.9310511413288,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.005, 'e': 0.9476507264148157}",25,0,-35.04318677644883,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.005, 'e': 0.946042343528387}",25,15,-7.745930793217316,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
